Project:	anna_barrier_ceramic_04_21_2025

Test:	std d=1.5mm sweep

Result:	stress sweep auto 1

Interval and data points:	1	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	14	70.013	0.11678	1.5665	74.548	0.18		0.004291	2.42E+03	5:09:18 PM	-0.0532
	15	75.014	0.14881	2.0539	72.451	0.18		0.0054679	3.32E+03	5:09:23 PM	-0.0531
	16	80.015	0.18962	2.704	70.127	0.18		0.0069676	4.5E+03	5:09:28 PM	-0.0528
	17	85.016	0.24163	3.5866	67.372	0.18		0.0088787	6.07E+03	5:09:33 PM	-0.0524
	18	90.017	0.30791	4.7454	64.885	0.18		0.011314	8.15E+03	5:09:38 PM	-0.0528
	19	95.018	0.39236	6.104	64.279	0.18		0.014417	1.09E+04	5:09:43 PM	-0.0527
	20	100.02	0.49997	7.7763	64.295	0.18		0.018371	1.43E+04	5:09:48 PM	-0.0526

Interval and data points:	2	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	105.02	0.5	8.0723	61.94	0.18		0.018372	1.83E+04	5:09:53 PM	-0.0528
	2	110.02	0.39241	6.4766	60.588	0.18		0.014419	2.2E+04	5:09:58 PM	-0.0529
	3	115.02	0.30795	5.0945	60.446	0.18		0.011315	2.49E+04	5:10:03 PM	-0.0533
	4	120.02	0.24166	4.0933	59.038	0.18		0.0088798	2.72E+04	5:10:08 PM	-0.0529
	5	125.03	0.18965	3.2528	58.303	0.18		0.0069685	2.9E+04	5:10:13 PM	-0.0528
	6	130.03	0.14883	2.5304	58.816	0.18		0.0054686	3.04E+04	5:10:18 PM	-0.0523
	7	135.03	0.11679	1.9615	59.543	0.18		0.0042915	3.16E+04	5:10:23 PM	-0.0522
	8	140.03	0.091655	1.5227	60.192	0.18		0.0033678	3.24E+04	5:10:28 PM	-0.0517
	9	145.03	0.071927	1.1876	60.566	0.18		0.0026429	3.31E+04	5:10:33 PM	-0.0519
	10	150.03	0.056446	0.94065	60.007	0.18		0.0020741	3.36E+04	5:10:38 PM	-0.0514
	11	155.03	0.044296	0.74855	59.176	0.18		0.0016276	3.41E+04	5:10:43 PM	-0.0513
	12	160.03	0.034762	0.60076	57.863	0.18		0.0012773	3.44E+04	5:10:48 PM	-0.0517
	13	165.03	0.02728	0.48762	55.945	0.18		0.0010024	3.47E+04	5:10:53 PM	-0.0516
	14	170.03	0.021408	0.40128	53.35	0.18		0.00078663	3.49E+04	5:10:58 PM	-0.051
	15	175.04	0.0168	0.33179	50.635	0.18		0.00061732	3.51E+04	5:11:03 PM	-0.0507
	16	180.04	0.013184	0.27629	47.718	0.18		0.00048444	3.52E+04	5:11:08 PM	-0.0507
	17	185.04	0.010346	0.23358	44.296	0.18		0.00038017	3.54E+04	5:11:13 PM	-0.0506
	18	190.04	0.0081194	0.19834	40.936	0.18		0.00029834	3.55E+04	5:11:18 PM	-0.0503
	19	195.04	0.0063718	0.17343	36.74	0.18		0.00023413	3.56E+04	5:11:23 PM	-0.0498
	20	200.04	0.0050003	0.15448	32.368	0.18		0.00018373	3.56E+04	5:11:28 PM	-0.0501

Test:	std d=0.12mm sweep

Result:	stress sweep auto 1

Interval and data points:	1	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
