Project:	anna_barrier_ceramic_04_21_2025

Test:	std d=1.5mm sweep

Result:	stress sweep auto 1

Interval and data points:	1	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	425	106.25	0.5	0.0038944	1.2839E+05	0.04997		0.018372	2.41E+03	5:30:46 PM	-0.0394
	426	106.5	0.5	-0.0001937	-2.5814E+06	0.04997		0.018372	2.41E+03	5:30:46 PM	-0.039
	427	106.75	0.5	0.002077	2.4073E+05	0.04997		0.018372	2.41E+03	5:30:46 PM	-0.0399
	428	107	0.5	0.0024103	2.0744E+05	0.04997		0.018372	2.41E+03	5:30:47 PM	-0.0394
	429	107.25	0.5	0.00045259	1.1048E+06	0.04997		0.018372	2.41E+03	5:30:47 PM	-0.0398
	430	107.5	0.5	-0.0010371	-4.8212E+05	0.04997		0.018372	2.41E+03	5:30:47 PM	-0.0397
	431	107.75	0.5	-0.0011737	-4.2601E+05	0.04997		0.018372	2.41E+03	5:30:47 PM	-0.0401
	432	108	0.5	0.00041068	1.2175E+06	0.04997		0.018372	2.41E+03	5:30:48 PM	-0.0403
	433	108.25	0.5	-0.00082694	-6.0464E+05	0.04997		0.018372	2.41E+03	5:30:48 PM	-0.0398
	434	108.5	0.5	0.0012224	4.0902E+05	0.04997		0.018372	2.41E+03	5:30:48 PM	-0.0397
	435	108.75	0.5	0.00043955	1.1375E+06	0.04997		0.018372	2.41E+03	5:30:48 PM	-0.0399
	436	109	0.5	0.0023449	2.1323E+05	0.04997		0.018372	2.41E+03	5:30:49 PM	-0.0396
	437	109.25	0.5	0.00042744	1.1698E+06	0.04997		0.018372	2.41E+03	5:30:49 PM	-0.0397
	438	109.5	0.5	-0.0028378	-1.7619E+05	0.04997		0.018372	2.41E+03	5:30:49 PM	-0.04
	439	109.75	0.5	0.0032137	1.5558E+05	0.04997		0.018372	2.41E+03	5:30:49 PM	-0.039
	440	110	0.5	-0.00075647	-6.6096E+05	0.04997		0.018372	2.41E+03	5:30:50 PM	-0.0395
	441	110.25	0.5	-0.0010691	-4.677E+05	0.04997		0.018372	2.41E+03	5:30:50 PM	-0.0392
	442	110.5	0.5	0.0048862	1.0233E+05	0.04997		0.018372	2.41E+03	5:30:50 PM	-0.0391
	443	110.75	0.5	0.0010669	4.6865E+05	0.04997		0.018372	2.41E+03	5:30:50 PM	-0.0398
	444	111	0.5	-0.0035378	-1.4133E+05	0.04997		0.018372	2.41E+03	5:30:51 PM	-0.0399
	445	111.25	0.5	0.00079528	6.2871E+05	0.04997		0.018372	2.41E+03	5:30:51 PM	-0.0397
	446	111.5	0.5	0.0025851	1.9341E+05	0.04997		0.018372	2.41E+03	5:30:51 PM	-0.0398
	447	111.75	0.5	-0.0021469	-2.329E+05	0.04997		0.018372	2.41E+03	5:30:51 PM	-0.04
	448	112	0.5	0.0019296	2.5913E+05	0.04997		0.018372	2.41E+03	5:30:52 PM	-0.04
	449	112.25	0.5	0.0031069	1.6093E+05	0.04997		0.018372	2.41E+03	5:30:52 PM	-0.0397
	450	112.5	0.5	-0.00024864	-2.0109E+06	0.04997		0.018372	2.41E+03	5:30:52 PM	-0.0397
	451	112.75	0.5	0.0047494	1.0528E+05	0.04997		0.018372	2.41E+03	5:30:52 PM	-0.0399
	452	113	0.5	0.002691	1.8581E+05	0.04997		0.018372	2.41E+03	5:30:53 PM	-0.0393
	453	113.25	0.5	-0.0022216	-2.2506E+05	0.04997		0.018372	2.41E+03	5:30:53 PM	-0.0397
	454	113.5	0.5	-0.0013118	-3.8115E+05	0.04997		0.018372	2.41E+03	5:30:53 PM	-0.0396
	455	113.75	0.5	-0.00029862	-1.6744E+06	0.04997		0.018372	2.41E+03	5:30:53 PM	-0.039
	456	114	0.5	0.0021235	2.3546E+05	0.04997		0.018372	2.41E+03	5:30:54 PM	-0.0391
	457	114.25	0.5	-0.001453	-3.441E+05	0.04997		0.018372	2.41E+03	5:30:54 PM	-0.0397
	458	114.5	0.5	0.0022276	2.2446E+05	0.04997		0.018372	2.41E+03	5:30:54 PM	-0.0407
	459	114.75	0.5	0.0013993	3.5731E+05	0.04997		0.018372	2.41E+03	5:30:54 PM	-0.04
	460	115	0.5	-0.00015552	-3.215E+06	0.04997		0.018372	2.41E+03	5:30:55 PM	-0.0394
	461	115.25	0.5	-0.0022263	-2.2459E+05	0.04997		0.018372	2.41E+03	5:30:55 PM	-0.0394
	462	115.5	0.5	-0.001734	-2.8835E+05	0.04997		0.018372	2.41E+03	5:30:55 PM	-0.0396
	463	115.75	0.5	6.7671E-05	7.3887E+06	0.04997		0.018372	2.41E+03	5:30:55 PM	-0.0396
	464	116	0.5	0.0020732	2.4117E+05	0.04997		0.018372	2.41E+03	5:30:56 PM	-0.0392
	465	116.25	0.5	0.0021639	2.3107E+05	0.04997		0.018372	2.41E+03	5:30:56 PM	-0.0399
	466	116.5	0.5	-0.0005454	-9.1677E+05	0.04997		0.018372	2.41E+03	5:30:56 PM	-0.0397
	467	116.75	0.5	0.0013354	3.7442E+05	0.04997		0.018372	2.41E+03	5:30:56 PM	-0.0388

Test:	std d=0.05mm 5pa

Result:	steady stress 1

Interval and data points:	1	97
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	0.25	5	66.137	75.6	0.04997		0.18372	723	5:31:36 PM	-0.0406
	2	0.5	5	102.55	48.754	0.04997		0.18372	2.88E+03	5:31:36 PM	-0.0426
	3	0.75	5	128.62	38.873	0.04997		0.18372	5.79E+03	5:31:37 PM	-0.0488
	4	1	5	144.48	34.606	0.04996		0.18372	9.22E+03	5:31:37 PM	-0.0528
	5	1.25	5	153.69	32.532	0.04996		0.18372	1.3E+04	5:31:37 PM	-0.0499
	6	1.5	5	158.67	31.511	0.04997		0.18372	1.69E+04	5:31:37 PM	-0.0439
	7	1.75	5	161.78	30.907	0.04997		0.18372	2.09E+04	5:31:38 PM	-0.0405
	8	2	5	164.72	30.355	0.04998		0.18372	2.5E+04	5:31:38 PM	-0.0329
	9	2.25	5	168.19	29.728	0.04998		0.18372	2.91E+04	5:31:38 PM	-0.0214
	10	2.5	5	172.15	29.044	0.05		0.18372	3.34E+04	5:31:38 PM	-0.00509
	11	2.75	5	176.53	28.323	0.05001		0.18372	3.77E+04	5:31:39 PM	0.0123
	12	3	5	180.52	27.698	0.05002		0.18372	4.22E+04	5:31:39 PM	0.0317
	13	3.25	5	183.71	27.217	0.05003		0.18372	4.67E+04	5:31:39 PM	0.0498
	14	3.5	5	185.79	26.912	0.05004		0.18372	5.13E+04	5:31:39 PM	0.0624
	15	3.75	5	187.05	26.73	0.05005		0.18372	5.6E+04	5:31:40 PM	0.0722
	16	4	5	187.77	26.628	0.05005		0.18372	6.07E+04	5:31:40 PM	0.0773
	17	4.25	5	187.88	26.612	0.05005		0.18372	6.54E+04	5:31:40 PM	0.0706
	18	4.5	5	187.36	26.686	0.05004		0.18372	7.01E+04	5:31:40 PM	0.0598
	19	4.75	5	187.08	26.727	0.05004		0.18372	7.47E+04	5:31:41 PM	0.0554
	20	5	5	187.78	26.626	0.05004		0.18372	7.94E+04	5:31:41 PM	0.0487
	21	5.25	5	188.64	26.506	0.05004		0.18372	8.41E+04	5:31:41 PM	0.0533
	22	5.5	5	181.8	27.502	0.05003		0.18372	8.88E+04	5:31:41 PM	0.0493
	23	5.75	5	184.35	27.122	0.05003		0.18372	9.34E+04	5:31:42 PM	0.0388
	24	6	5	187.71	26.637	0.05001		0.18372	9.8E+04	5:31:42 PM	0.0196
	25	6.25	5	188.97	26.458	0.05001		0.18372	1.03E+05	5:31:42 PM	0.0122
	26	6.5	5	188.68	26.5	0.05		0.18372	1.08E+05	5:31:42 PM	0.00167
	27	6.75	5	189.6	26.371	0.04999		0.18372	1.12E+05	5:31:43 PM	-0.00971
	28	7	5	191.38	26.126	0.04999		0.18372	1.17E+05	5:31:43 PM	-0.01
	29	7.25	5	191.97	26.045	0.04999		0.18372	1.22E+05	5:31:43 PM	-0.00999
	30	7.5	5	192.77	25.937	0.04999		0.18372	1.27E+05	5:31:43 PM	-0.0115
	31	7.75	5	193.6	25.827	0.04999		0.18372	1.31E+05	5:31:44 PM	-0.0149
	32	8	5	194.39	25.722	0.04999		0.18372	1.36E+05	5:31:44 PM	-0.0176
	33	8.25	5	195.18	25.618	0.04999		0.18372	1.41E+05	5:31:44 PM	-0.0187
	34	8.5	5	195.68	25.552	0.04999		0.18372	1.46E+05	5:31:44 PM	-0.019
	35	8.75	5	195.24	25.609	0.04999		0.18372	1.51E+05	5:31:45 PM	-0.0161
	36	9	5	193.84	25.794	0.04999		0.18372	1.56E+05	5:31:45 PM	-0.0145
	37	9.25	5	191.89	26.056	0.04999		0.18372	1.61E+05	5:31:45 PM	-0.0141
	38	9.5	5	189.21	26.426	0.04999		0.18372	1.65E+05	5:31:45 PM	-0.0157
	39	9.75	5	186.86	26.758	0.04999		0.18372	1.7E+05	5:31:46 PM	-0.0202
	40	10	5	184.98	27.029	0.04998		0.18372	1.75E+05	5:31:46 PM	-0.0243
	41	10.25	5	183.04	27.316	0.04998		0.18372	1.79E+05	5:31:46 PM	-0.0291
	42	10.5	5	181.42	27.56	0.04997		0.18372	1.84E+05	5:31:46 PM	-0.0363
	43	10.75	5	182.06	27.463	0.04997		0.18372	1.88E+05	5:31:47 PM	-0.0366
	44	11	5	181.46	27.555	0.04997		0.18372	1.93E+05	5:31:47 PM	-0.0371
	45	11.25	5	180.06	27.768	0.04997		0.18372	1.98E+05	5:31:47 PM	-0.0433
	46	11.5	5	180.77	27.659	0.04997		0.18372	2.02E+05	5:31:47 PM	-0.0466
	47	11.75	5	181.44	27.557	0.04997		0.18372	2.07E+05	5:31:48 PM	-0.0452
	48	12	5	180.38	27.719	0.04997		0.18372	2.11E+05	5:31:48 PM	-0.043
	49	12.25	5	179.85	27.801	0.04997		0.18372	2.16E+05	5:31:48 PM	-0.0482
	50	12.5	5	180.83	27.651	0.04997		0.18372	2.2E+05	5:31:48 PM	-0.0462
	51	12.75	5	181.79	27.504	0.04997		0.18372	2.25E+05	5:31:49 PM	-0.0377
	52	13	5	181.67	27.522	0.04998		0.18372	2.29E+05	5:31:49 PM	-0.0347
	53	13.25	5	181.64	27.527	0.04998		0.18372	2.34E+05	5:31:49 PM	-0.0325
	54	13.5	5	181.8	27.503	0.04998		0.18372	2.38E+05	5:31:49 PM	-0.0312
	55	13.75	5	182.11	27.457	0.04998		0.18372	2.43E+05	5:31:50 PM	-0.0302
	56	14	5	182.68	27.371	0.04998		0.18372	2.47E+05	5:31:50 PM	-0.0277
	57	14.25	5	183.1	27.307	0.04998		0.18372	2.52E+05	5:31:50 PM	-0.0231
	58	14.5	5	183	27.323	0.04999		0.18372	2.56E+05	5:31:50 PM	-0.0178
	59	14.75	5	182.32	27.425	0.04999		0.18372	2.61E+05	5:31:51 PM	-0.0139
	60	15	5	181.23	27.589	0.04999		0.18372	2.66E+05	5:31:51 PM	-0.0102
	61	15.25	5	179.96	27.783	0.04999		0.18372	2.7E+05	5:31:51 PM	-0.0108
	62	15.5	5	178.91	27.948	0.04999		0.18372	2.75E+05	5:31:51 PM	-0.011
	63	15.75	5	178.13	28.07	0.04999		0.18372	2.79E+05	5:31:52 PM	-0.0132
	64	16	5	177.49	28.17	0.04999		0.18372	2.83E+05	5:31:52 PM	-0.0149
	65	16.25	5	177.68	28.141	0.04999		0.18372	2.88E+05	5:31:52 PM	-0.0197
	66	16.5	5	178.3	28.042	0.04999		0.18372	2.92E+05	5:31:52 PM	-0.0195
	67	16.75	5	177.42	28.181	0.04999		0.18372	2.97E+05	5:31:53 PM	-0.0197
	68	17	5	176.54	28.322	0.04998		0.18372	3.01E+05	5:31:53 PM	-0.0244
	69	17.25	5	178.29	28.045	0.04998		0.18372	3.06E+05	5:31:53 PM	-0.0283
	70	17.5	5	179.89	27.795	0.04998		0.18372	3.1E+05	5:31:53 PM	-0.0264
	71	17.75	5	180.22	27.744	0.04998		0.18372	3.15E+05	5:31:54 PM	-0.0272
	72	18	5	181.06	27.615	0.04998		0.18372	3.19E+05	5:31:54 PM	-0.0327
	73	18.25	5	183.28	27.281	0.04997		0.18372	3.24E+05	5:31:54 PM	-0.0358
	74	18.5	5	185.52	26.952	0.04998		0.18372	3.28E+05	5:31:54 PM	-0.031
	75	18.75	5	186.61	26.794	0.04998		0.18372	3.33E+05	5:31:55 PM	-0.0298
	76	19	5	187.67	26.643	0.04998		0.18372	3.38E+05	5:31:55 PM	-0.0303
	77	19.25	5	188.83	26.478	0.04998		0.18372	3.42E+05	5:31:55 PM	-0.0313
	78	19.5	5	190.09	26.303	0.04998		0.18372	3.47E+05	5:31:55 PM	-0.0326
	79	19.75	5	191.33	26.133	0.04998		0.18372	3.52E+05	5:31:56 PM	-0.032
	80	20	5	192.25	26.007	0.04998		0.18372	3.57E+05	5:31:56 PM	-0.0292
	81	20.25	5	192.33	25.996	0.04998		0.18372	3.62E+05	5:31:56 PM	-0.026
	82	20.5	5	191.65	26.089	0.04998		0.18372	3.66E+05	5:31:56 PM	-0.0241
	83	20.75	5	190.45	26.253	0.04998		0.18372	3.71E+05	5:31:57 PM	-0.0226
	84	21	5	188.93	26.465	0.04998		0.18372	3.76E+05	5:31:57 PM	-0.024
	85	21.25	5	187.69	26.64	0.04998		0.18372	3.81E+05	5:31:57 PM	-0.0272
	86	21.5	5	186.6	26.795	0.04998		0.18372	3.85E+05	5:31:57 PM	-0.0327
	87	21.75	5	185.63	26.935	0.04997		0.18372	3.9E+05	5:31:58 PM	-0.0375
	88	22	5	185.65	26.933	0.04997		0.18372	3.95E+05	5:31:58 PM	-0.0439
	89	22.25	5	186.1	26.867	0.04997		0.18372	3.99E+05	5:31:58 PM	-0.0419
	90	22.5	5	185.2	26.997	0.04997		0.18372	4.04E+05	5:31:58 PM	-0.0462
	91	22.75	5	184.84	27.05	0.04996		0.18372	4.09E+05	5:31:59 PM	-0.0533
	92	23	5	185.85	26.903	0.04996		0.18372	4.13E+05	5:31:59 PM	-0.0535
	93	23.25	5	186.2	26.853	0.04996		0.18372	4.18E+05	5:31:59 PM	-0.0528
	94	23.5	5	185.59	26.941	0.04996		0.18372	4.23E+05	5:31:59 PM	-0.0567
	95	23.75	5	186.39	26.825	0.04996		0.18372	4.27E+05	5:32:00 PM	-0.0614
	96	24	5	188.09	26.583	0.04996		0.18372	4.32E+05	5:32:00 PM	-0.0559
	97	24.25	5	188.51	26.523	0.04996		0.18372	4.37E+05	5:32:00 PM	-0.0531

Test:	std d=0.02mm sweep

Result:	stress sweep auto 1

Interval and data points:	1	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	5.001	0.0050345	-0.17526	-28.725	0.01997		0.00018499	-84	5:34:10 PM	-0.0381
	2	10.002	0.006371	-0.0015264	-4173.8	0.01997		0.0002341	-87.9	5:34:15 PM	-0.0393
	3	15.003	0.0081184	-0.0010056	-8073.3	0.01997		0.00029831	-88.4	5:34:20 PM	-0.0389
	4	20.004	0.010345	0.00057655	17943	0.01997		0.00038013	-88.6	5:34:25 PM	-0.0387
	5	25.005	0.013183	-0.0017266	-7635	0.01997		0.00048439	-88.9	5:34:30 PM	-0.0385
	6	30.006	0.016798	-0.0014099	-11915	0.01997		0.00061724	-89.7	5:34:35 PM	-0.0382
	7	35.007	0.021405	0.0024138	8868	0.01997		0.00078653	-89.4	5:34:40 PM	-0.0379
	8	40.008	0.027276	0.0012014	22704	0.01997		0.0010023	-88.2	5:34:45 PM	-0.0375
	9	45.009	0.034758	0.0011008	31574	0.01997		0.0012772	-87.6	5:34:50 PM	-0.0373
	10	50.01	0.044291	0.0022346	19821	0.01997		0.0016274	-86.7	5:34:55 PM	-0.0374
	11	55.011	0.056439	0.0049946	11300	0.01997		0.0020738	-84.9	5:35:00 PM	-0.0371
	12	60.012	0.071919	0.0065796	10931	0.01997		0.0026426	-81.5	5:35:05 PM	-0.037
	13	65.013	0.091644	0.0094042	9745	0.01997		0.0033674	-77.1	5:35:10 PM	-0.0366
	14	70.014	0.11678	0.0096772	12068	0.01997		0.004291	-70.7	5:35:15 PM	-0.0357
	15	75.015	0.14881	0.017452	8526.9	0.01998		0.0054679	-64	5:35:20 PM	-0.0348
	16	80.016	0.18962	0.014808	12805	0.01998		0.0069676	-55.5	5:35:25 PM	-0.0333
	17	85.017	0.24163	0.014275	16927	0.01998		0.0088787	-48	5:35:30 PM	-0.0321
	18	90.018	0.30791	0.022232	13850	0.01998		0.011314	-38	5:35:35 PM	-0.0299
	19	95.019	0.39236	0.039302	9983.2	0.01998		0.014417	-20.3	5:35:40 PM	-0.0277
	20	100.02	0.49997	0.045069	11093	0.01998		0.018371	2.78	5:35:45 PM	-0.0249

Interval and data points:	2	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	105.02	0.5	0.0082967	60265	0.01998		0.018372	6.37	5:35:50 PM	-0.0246
	2	110.02	0.39241	-0.013216	-29692	0.01998		0.014419	3.3	5:35:55 PM	-0.0265
	3	115.02	0.30795	-0.013149	-23419	0.01998		0.011315	-3.55	5:36:00 PM	-0.028
	4	120.03	0.24166	-0.012105	-19965	0.01998		0.0088798	-9.83	5:36:05 PM	-0.0296
	5	125.03	0.18965	-0.018936	-10015	0.01998		0.0069685	-17.8	5:36:10 PM	-0.031
	6	130.03	0.14883	-0.024279	-6129.9	0.01998		0.0054686	-29.9	5:36:15 PM	-0.0325
	7	135.03	0.11679	-0.012983	-8995.9	0.01998		0.0042915	-37.5	5:36:20 PM	-0.0335
	8	140.03	0.091655	-0.0094935	-9654.5	0.01998		0.0033678	-42.5	5:36:25 PM	-0.0343
	9	145.03	0.071927	-0.0082717	-8695.6	0.01998		0.0026429	-46.5	5:36:30 PM	-0.0351
	10	150.03	0.056446	-0.011898	-4744.2	0.01997		0.0020741	-51.5	5:36:35 PM	-0.0355
	11	155.03	0.044296	-0.0097507	-4542.9	0.01997		0.0016276	-56.7	5:36:40 PM	-0.0356
	12	160.03	0.034762	-0.0089846	-3869.1	0.01997		0.0012773	-61	5:36:45 PM	-0.0363
	13	165.03	0.02728	-0.0095514	-2856.1	0.01997		0.0010024	-65.9	5:36:50 PM	-0.0364
	14	170.04	0.021408	-0.0062846	-3406.4	0.01997		0.00078663	-70.1	5:36:55 PM	-0.0368
	15	175.04	0.0168	-0.0093723	-1792.5	0.01997		0.00061732	-73.3	5:37:00 PM	-0.0365
	16	180.04	0.013184	-0.0078727	-1674.7	0.01997		0.00048444	-78.1	5:37:05 PM	-0.0363
	17	185.04	0.010346	-0.0019271	-5368.9	0.01997		0.00038017	-79.4	5:37:10 PM	-0.0364
	18	190.04	0.0081194	-0.0031566	-2572.2	0.01997		0.00029834	-80.8	5:37:15 PM	-0.0362
	19	195.04	0.0063718	-0.005906	-1078.9	0.01997		0.00023413	-83.3	5:37:20 PM	-0.0358
	20	200.04	0.0050003	-0.0020073	-2491	0.01997		0.00018373	-85.1	5:37:25 PM	-0.0361

Test:	std d=0.02mm 5pa

Result:	steady stress 1

Interval and data points:	1	222
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	0.25	5	22.951	217.85	0.01999		0.18372	982	5:38:15 PM	-0.00657
	2	0.5	5	0.34186	14626	0.02001		0.18372	1.03E+03	5:38:16 PM	0.0145
	3	0.75	5	0.04742	1.0544E+05	0.02001		0.18372	1.03E+03	5:38:16 PM	0.0199
	4	1	5	0.024662	2.0274E+05	0.02002		0.18372	1.03E+03	5:38:16 PM	0.0213
	5	1.25	5	0.012185	4.1035E+05	0.02002		0.18372	1.04E+03	5:38:16 PM	0.0212
	6	1.5	5	0.0048175	1.0379E+06	0.02002		0.18372	1.04E+03	5:38:17 PM	0.0221
	7	1.75	5	0.024988	2.001E+05	0.02002		0.18372	1.04E+03	5:38:17 PM	0.0215
	8	2	5	0.0040889	1.2228E+06	0.02002		0.18372	1.04E+03	5:38:17 PM	0.0219
	9	2.25	5	-0.0030566	-1.6358E+06	0.02002		0.18372	1.04E+03	5:38:17 PM	0.022
	10	2.5	5	0.015918	3.141E+05	0.02002		0.18372	1.04E+03	5:38:18 PM	0.0227
	11	2.75	5	-0.0092414	-5.4104E+05	0.02001		0.18372	1.04E+03	5:38:18 PM	0.0215
	12	3	5	0.01798	2.7808E+05	0.02002		0.18372	1.04E+03	5:38:18 PM	0.0213
	13	3.25	5	0.011151	4.4839E+05	0.02001		0.18372	1.04E+03	5:38:18 PM	0.022
	14	3.5	5	0.004134	1.2095E+06	0.02001		0.18372	1.04E+03	5:38:19 PM	0.022
	15	3.75	5	-0.0016167	-3.0927E+06	0.02001		0.18372	1.04E+03	5:38:19 PM	0.0217
	16	4	5	0.033043	1.5132E+05	0.02002		0.18372	1.04E+03	5:38:19 PM	0.022
	17	4.25	5	-0.0056419	-8.8622E+05	0.02002		0.18372	1.04E+03	5:38:19 PM	0.0221
	18	4.5	5	0.013298	3.7599E+05	0.02001		0.18372	1.04E+03	5:38:20 PM	0.021
	19	4.75	5	0.0012787	3.9101E+06	0.02002		0.18372	1.04E+03	5:38:20 PM	0.0217
	20	5	5	-0.0029559	-1.6915E+06	0.02002		0.18372	1.04E+03	5:38:20 PM	0.0216
	21	5.25	5	-0.010356	-4.8282E+05	0.02002		0.18372	1.04E+03	5:38:20 PM	0.0218
	22	5.5	5	0.013358	3.743E+05	0.02001		0.18372	1.04E+03	5:38:21 PM	0.021
	23	5.75	5	-0.022965	-2.1772E+05	0.02002		0.18372	1.04E+03	5:38:21 PM	0.0215
	24	6	5	0.023966	2.0863E+05	0.02002		0.18372	1.04E+03	5:38:21 PM	0.0218
	25	6.25	5	3.41E-05	1.4663E+08	0.02002		0.18372	1.04E+03	5:38:21 PM	0.0215
	26	6.5	5	0.0078665	6.356E+05	0.02001		0.18372	1.04E+03	5:38:22 PM	0.0212
	27	6.75	5	0.0092506	5.405E+05	0.02002		0.18372	1.04E+03	5:38:22 PM	0.0217
	28	7	5	0.0089482	5.5877E+05	0.02002		0.18372	1.04E+03	5:38:22 PM	0.0208
	29	7.25	5	0.0036519	1.3691E+06	0.02001		0.18372	1.04E+03	5:38:22 PM	0.0219
	30	7.5	5	0.0097342	5.1365E+05	0.02002		0.18372	1.04E+03	5:38:23 PM	0.0213
	31	7.75	5	-0.0002573	-1.9433E+07	0.02002		0.18372	1.04E+03	5:38:23 PM	0.022
	32	8	5	-0.015415	-3.2436E+05	0.02002		0.18372	1.04E+03	5:38:23 PM	0.0219
	33	8.25	5	0.0044656	1.1197E+06	0.02002		0.18372	1.04E+03	5:38:23 PM	0.0221
	34	8.5	5	0.01599	3.127E+05	0.02002		0.18372	1.04E+03	5:38:24 PM	0.0212
	35	8.75	5	-0.018168	-2.7521E+05	0.02002		0.18372	1.04E+03	5:38:24 PM	0.0214
	36	9	5	0.012433	4.0216E+05	0.02002		0.18372	1.04E+03	5:38:24 PM	0.0214
	37	9.25	5	0.0084956	5.8854E+05	0.02002		0.18372	1.04E+03	5:38:24 PM	0.0219
	38	9.5	5	-0.011021	-4.5367E+05	0.02001		0.18372	1.04E+03	5:38:25 PM	0.021
	39	9.75	5	-0.0056886	-8.7895E+05	0.02002		0.18372	1.04E+03	5:38:25 PM	0.0213
	40	10	5	0.011436	4.3721E+05	0.02002		0.18372	1.04E+03	5:38:25 PM	0.022
	41	10.25	5	-0.00090828	-5.5049E+06	0.02002		0.18372	1.04E+03	5:38:25 PM	0.0215
	42	10.5	5	0.01382	3.618E+05	0.02002		0.18372	1.04E+03	5:38:26 PM	0.0224
	43	10.75	5	0.030245	1.6532E+05	0.02001		0.18372	1.04E+03	5:38:26 PM	0.0215
	44	11	5	-0.018824	-2.6562E+05	0.02002		0.18372	1.04E+03	5:38:26 PM	0.0213
	45	11.25	5	-0.0096335	-5.1902E+05	0.02001		0.18372	1.04E+03	5:38:26 PM	0.0217
	46	11.5	5	0.012477	4.0073E+05	0.02002		0.18372	1.04E+03	5:38:27 PM	0.0219
	47	11.75	5	-0.00043401	-1.152E+07	0.02002		0.18372	1.04E+03	5:38:27 PM	0.0209
	48	12	5	-0.00021235	-2.3546E+07	0.02002		0.18372	1.04E+03	5:38:27 PM	0.0217
	49	12.25	5	-0.0062077	-8.0545E+05	0.02002		0.18372	1.04E+03	5:38:27 PM	0.0221
	50	12.5	5	-0.0097	-5.1546E+05	0.02002		0.18372	1.04E+03	5:38:28 PM	0.021
	51	12.75	5	0.013468	3.7124E+05	0.02002		0.18372	1.04E+03	5:38:28 PM	0.0214
	52	13	5	0.0056266	8.8863E+05	0.02002		0.18372	1.04E+03	5:38:28 PM	0.0221
	53	13.25	5	-0.0035294	-1.4167E+06	0.02002		0.18372	1.04E+03	5:38:28 PM	0.0213
	54	13.5	5	0.0091995	5.4351E+05	0.02002		0.18372	1.04E+03	5:38:29 PM	0.021
	55	13.75	5	0.0099928	5.0036E+05	0.02002		0.18372	1.04E+03	5:38:29 PM	0.0214
	56	14	5	-0.025218	-1.9827E+05	0.02001		0.18372	1.04E+03	5:38:29 PM	0.0215
	57	14.25	5	0.01199	4.1701E+05	0.02001		0.18372	1.04E+03	5:38:29 PM	0.0203
	58	14.5	5	-0.021435	-2.3326E+05	0.02002		0.18372	1.04E+03	5:38:30 PM	0.0213
	59	14.75	5	-0.0002263	-2.2094E+07	0.02002		0.18372	1.04E+03	5:38:30 PM	0.0212
	60	15	5	0.019979	2.5026E+05	0.02001		0.18372	1.04E+03	5:38:30 PM	0.0203
	61	15.25	5	0.010335	4.838E+05	0.02001		0.18372	1.04E+03	5:38:30 PM	0.0205
	62	15.5	5	-0.0093667	-5.338E+05	0.02002		0.18372	1.04E+03	5:38:31 PM	0.0217
	63	15.75	5	-0.021182	-2.3605E+05	0.02001		0.18372	1.04E+03	5:38:31 PM	0.021
	64	16	5	0.013344	3.747E+05	0.02002		0.18372	1.04E+03	5:38:31 PM	0.0206
	65	16.25	5	-0.0084045	-5.9492E+05	0.02001		0.18372	1.04E+03	5:38:31 PM	0.0211
	66	16.5	5	0.024621	2.0308E+05	0.02001		0.18372	1.04E+03	5:38:32 PM	0.0205
	67	16.75	5	6.9755E-05	7.1679E+07	0.02001		0.18372	1.04E+03	5:38:32 PM	0.0205
	68	17	5	-0.0081544	-6.1317E+05	0.02002		0.18372	1.04E+03	5:38:32 PM	0.0212
	69	17.25	5	0.011182	4.4715E+05	0.02002		0.18372	1.04E+03	5:38:32 PM	0.0219
	70	17.5	5	0.010553	4.7382E+05	0.02002		0.18372	1.04E+03	5:38:33 PM	0.0223
	71	17.75	5	-0.016897	-2.9591E+05	0.02002		0.18372	1.04E+03	5:38:33 PM	0.0215
	72	18	5	0.0067163	7.4445E+05	0.02001		0.18372	1.04E+03	5:38:33 PM	0.0214
	73	18.25	5	-0.0011811	-4.2333E+06	0.02002		0.18372	1.04E+03	5:38:33 PM	0.0212
